cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
sample_0154,sha_0154,medRxiv,Mental health effects of COVID-19 lockdowns,10.1000/sample.154,,30000154,cc-by,Analysis of treatment effectiveness and clinical management approaches.,2021-05-12,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Nature Medicine,mag_154,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_154,s2_154
sample_0155,sha_0155,medRxiv,Vaccine development and efficacy analysis,10.1000/sample.155,,30000155,cc-by-nc,Analysis of treatment effectiveness and clinical management approaches.,2021-04-24,"Thompson, G.; Garcia, H.; Martinez, I.",Proceedings of the National Academy of Sciences,mag_155,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_155,s2_155
sample_0156,sha_0156,Elsevier,Contact tracing effectiveness studies,10.1000/sample.156,PMC1000156,,cc-by,Research on pandemic response effectiveness and public health intervention strategies.,2020-07-08,"Anderson, L.; Thomas, P.; Jackson, D.",Proceedings of the National Academy of Sciences,mag_156,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_156,s2_156
sample_0157,sha_0157,medRxiv,Pandemic response strategies and public health measures,10.1000/sample.157,,30000157,cc-by,Healthcare system capacity analysis during peak pandemic periods.,2022-11-21,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",PLOS ONE,mag_157,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_157,s2_157
sample_0158,sha_0158,WHO,Economic implications of pandemic measures,10.1000/sample.158,PMC1000158,30000158,cc-by-nc,Healthcare system capacity analysis during peak pandemic periods.,2022-01-19,"Lee, K.; Wang, L.; Chen, M.",Nature,mag_158,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_158,s2_158
sample_0159,sha_0159,arXiv,Vaccine development and efficacy analysis,10.1000/sample.159,PMC1000159,30000159,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2023-02-17,"Thompson, G.; Garcia, H.; Martinez, I.",Nature,mag_159,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_159,s2_159
sample_0160,sha_0160,Elsevier,COVID-19 respiratory symptoms and transmission patterns,10.1000/sample.160,PMC1000160,30000160,cc-by,Analysis of treatment effectiveness and clinical management approaches.,2023-06-11,"Miller, N.; Jones, O.; Williams, P.",Cell,mag_160,who_160,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_160,s2_160
sample_0161,,PMC,Healthcare system impact during pandemic,10.1000/sample.161,PMC1000161,30000161,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2023-12-12,"Lee, K.; Wang, L.; Chen, M.",The Lancet,mag_161,who_161,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_161,s2_161
sample_0162,,arXiv,Ventilator management in COVID patients,10.1000/sample.162,PMC1000162,30000162,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2023-05-12,"Miller, N.; Jones, O.; Williams, P.",New England Journal of Medicine,mag_162,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_162,s2_162
sample_0163,sha_0163,Elsevier,Long COVID symptoms and patient recovery,10.1000/sample.163,,,cc-by,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2019-12-28,"White, C.; Harris, B.; Martin, E.",Science,mag_163,who_163,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_163,s2_163
sample_0164,sha_0164,WHO,Long COVID symptoms and patient recovery,10.1000/sample.164,,,cc-by,"Investigation of vaccine efficacy, safety profiles, and immunological responses.",2020-10-25,"Anderson, L.; Thomas, P.; Jackson, D.",Nature Medicine,mag_164,who_164,arxiv.164,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_164,s2_164
sample_0165,sha_0165,medRxiv,COVID-19 respiratory symptoms and transmission patterns,10.1000/sample.165,PMC1000165,30000165,cc-by,Healthcare system capacity analysis during peak pandemic periods.,2023-03-01,"White, C.; Harris, B.; Martin, E.",BMJ,mag_165,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_165,s2_165
sample_0166,,medRxiv,Epidemiological analysis of coronavirus spread,10.1000/sample.166,,30000166,cc-by,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2021-01-04,"Miller, N.; Jones, O.; Williams, P.",Nature Medicine,mag_166,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_166,s2_166
sample_0167,sha_0167,medRxiv,COVID-19 respiratory symptoms and transmission patterns,10.1000/sample.167,PMC1000167,30000167,cc-by-nc,Research on pandemic response effectiveness and public health intervention strategies.,2022-06-23,"White, C.; Harris, B.; Martin, E.",Proceedings of the National Academy of Sciences,mag_167,,arxiv.167,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_167,s2_167
sample_0168,,Elsevier,Mask wearing and transmission reduction,10.1000/sample.168,PMC1000168,30000168,cc-by,Epidemiological study of coronavirus transmission rates and infection patterns.,2021-05-18,"Thompson, G.; Garcia, H.; Martinez, I.",New England Journal of Medicine,mag_168,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_168,s2_168
sample_0169,sha_0169,PMC,Pandemic response strategies and public health measures,10.1000/sample.169,PMC1000169,30000169,cc-by,Healthcare system capacity analysis during peak pandemic periods.,2021-11-10,"Thompson, G.; Garcia, H.; Martinez, I.",Proceedings of the National Academy of Sciences,mag_169,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_169,s2_169
sample_0170,sha_0170,Elsevier,Vaccine development and efficacy analysis,10.1000/sample.170,PMC1000170,30000170,cc-by,Research on pandemic response effectiveness and public health intervention strategies.,2023-03-11,"Thompson, G.; Garcia, H.; Martinez, I.",Science,mag_170,,arxiv.170,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_170,s2_170
sample_0171,sha_0171,arXiv,Long COVID symptoms and patient recovery,,,30000171,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2021-11-03,"Thompson, G.; Garcia, H.; Martinez, I.",PLOS ONE,mag_171,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_171,s2_171
sample_0172,,medRxiv,Mask wearing and transmission reduction,,,30000172,cc-by,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2020-06-20,"Miller, N.; Jones, O.; Williams, P.",Cell,mag_172,who_172,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_172,s2_172
sample_0173,sha_0173,PMC,Economic implications of pandemic measures,10.1000/sample.173,PMC1000173,30000173,cc-by,Immunological response analysis including antibody production and cellular immunity.,2020-08-30,"Davis, M.; Wilson, R.; Taylor, S.",BMJ,mag_173,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_173,s2_173
sample_0174,sha_0174,Elsevier,Treatment protocols for severe COVID cases,10.1000/sample.174,,30000174,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2023-11-10,"Miller, N.; Jones, O.; Williams, P.",PLOS ONE,mag_174,who_174,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_174,s2_174
sample_0175,sha_0175,medRxiv,Immunological response to SARS-CoV-2 infection,10.1000/sample.175,,30000175,cc-by,We analyzed SARS-CoV-2 viral dynamics and patient outcomes in clinical environments.,2021-12-30,"Smith, J.; Johnson, A.; Brown, K.",Nature,mag_175,who_175,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_175,s2_175
sample_0176,sha_0176,PMC,SARS-CoV-2 viral dynamics in clinical settings,10.1000/sample.176,,30000176,cc-by,Healthcare system capacity analysis during peak pandemic periods.,2023-05-02,"Davis, M.; Wilson, R.; Taylor, S.",Nature,mag_176,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_176,s2_176
sample_0177,sha_0177,medRxiv,COVID-19 respiratory symptoms and transmission patterns,,PMC1000177,,cc-by-nc,Immunological response analysis including antibody production and cellular immunity.,2021-11-02,"Anderson, L.; Thomas, P.; Jackson, D.",JAMA,mag_177,,arxiv.177,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_177,s2_177
sample_0178,sha_0178,medRxiv,Treatment protocols for severe COVID cases,10.1000/sample.178,PMC1000178,30000178,cc-by-nc,Epidemiological study of coronavirus transmission rates and infection patterns.,2021-01-01,"Anderson, L.; Thomas, P.; Jackson, D.",Proceedings of the National Academy of Sciences,mag_178,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_178,s2_178
sample_0179,sha_0179,Elsevier,COVID-19 respiratory symptoms and transmission patterns,,PMC1000179,30000179,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2022-07-26,"Lee, K.; Wang, L.; Chen, M.",Science,mag_179,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_179,s2_179
sample_0180,sha_0180,WHO,COVID-19 respiratory symptoms and transmission patterns,10.1000/sample.180,,30000180,cc-by,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2023-10-23,"Thompson, G.; Garcia, H.; Martinez, I.",PLOS ONE,mag_180,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_180,s2_180
sample_0181,sha_0181,medRxiv,Vaccine development and efficacy analysis,10.1000/sample.181,PMC1000181,30000181,cc-by,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2023-12-27,"Thompson, G.; Garcia, H.; Martinez, I.",New England Journal of Medicine,mag_181,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_181,s2_181
sample_0182,,WHO,Pandemic response strategies and public health measures,10.1000/sample.182,PMC1000182,30000182,cc-by,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2020-03-23,"Thompson, G.; Garcia, H.; Martinez, I.",Nature,mag_182,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_182,s2_182
sample_0183,sha_0183,WHO,Contact tracing effectiveness studies,10.1000/sample.183,,30000183,cc-by,We analyzed SARS-CoV-2 viral dynamics and patient outcomes in clinical environments.,2020-08-25,"Smith, J.; Johnson, A.; Brown, K.",BMJ,mag_183,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_183,s2_183
sample_0184,sha_0184,WHO,Mental health effects of COVID-19 lockdowns,10.1000/sample.184,,30000184,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2021-12-12,"Miller, N.; Jones, O.; Williams, P.",BMJ,mag_184,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_184,s2_184
sample_0185,sha_0185,WHO,Mental health effects of COVID-19 lockdowns,10.1000/sample.185,PMC1000185,,cc-by,We analyzed SARS-CoV-2 viral dynamics and patient outcomes in clinical environments.,2022-12-08,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",BMJ,mag_185,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_185,s2_185
sample_0186,sha_0186,arXiv,Mask wearing and transmission reduction,10.1000/sample.186,,,cc-by-nc,Epidemiological study of coronavirus transmission rates and infection patterns.,2022-10-13,"Davis, M.; Wilson, R.; Taylor, S.",Nature Medicine,mag_186,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_186,s2_186
sample_0187,sha_0187,PMC,SARS-CoV-2 viral dynamics in clinical settings,10.1000/sample.187,,30000187,cc-by,Analysis of treatment effectiveness and clinical management approaches.,2023-05-05,"Smith, J.; Johnson, A.; Brown, K.",Proceedings of the National Academy of Sciences,mag_187,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_187,s2_187
sample_0188,sha_0188,WHO,Economic implications of pandemic measures,10.1000/sample.188,,30000188,cc-by,We analyzed SARS-CoV-2 viral dynamics and patient outcomes in clinical environments.,2023-10-15,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Science,mag_188,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_188,s2_188
sample_0189,sha_0189,medRxiv,Ventilator management in COVID patients,,PMC1000189,30000189,cc-by,Immunological response analysis including antibody production and cellular immunity.,2020-11-20,"Miller, N.; Jones, O.; Williams, P.",The Lancet,mag_189,who_189,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_189,s2_189
sample_0190,sha_0190,PMC,Mask wearing and transmission reduction,10.1000/sample.190,PMC1000190,30000190,cc-by,"Investigation of vaccine efficacy, safety profiles, and immunological responses.",2021-07-02,"Lee, K.; Wang, L.; Chen, M.",Science,mag_190,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_190,s2_190
sample_0191,sha_0191,arXiv,Immunological response to SARS-CoV-2 infection,10.1000/sample.191,PMC1000191,30000191,cc-by,We analyzed SARS-CoV-2 viral dynamics and patient outcomes in clinical environments.,2022-08-14,"Anderson, L.; Thomas, P.; Jackson, D.",New England Journal of Medicine,mag_191,who_191,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_191,s2_191
sample_0192,sha_0192,Elsevier,SARS-CoV-2 viral dynamics in clinical settings,,,,cc-by,We analyzed SARS-CoV-2 viral dynamics and patient outcomes in clinical environments.,2020-12-26,"Lee, K.; Wang, L.; Chen, M.",Nature Medicine,mag_192,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_192,s2_192
sample_0193,sha_0193,medRxiv,Healthcare system impact during pandemic,,,30000193,cc-by,"Investigation of vaccine efficacy, safety profiles, and immunological responses.",2021-05-20,"White, C.; Harris, B.; Martin, E.",Nature Medicine,mag_193,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_193,s2_193
sample_0194,sha_0194,WHO,Economic implications of pandemic measures,10.1000/sample.194,PMC1000194,30000194,cc-by-nc,Immunological response analysis including antibody production and cellular immunity.,2023-09-14,"Davis, M.; Wilson, R.; Taylor, S.",New England Journal of Medicine,mag_194,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_194,s2_194
sample_0195,,PMC,COVID-19 respiratory symptoms and transmission patterns,10.1000/sample.195,,,cc-by,Epidemiological study of coronavirus transmission rates and infection patterns.,2022-07-13,"Thompson, G.; Garcia, H.; Martinez, I.",Cell,mag_195,,arxiv.195,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_195,s2_195
sample_0196,,WHO,SARS-CoV-2 viral dynamics in clinical settings,,PMC1000196,30000196,cc-by,Research on pandemic response effectiveness and public health intervention strategies.,2022-07-01,"Anderson, L.; Thomas, P.; Jackson, D.",Proceedings of the National Academy of Sciences,mag_196,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_196,s2_196
sample_0197,sha_0197,WHO,Vaccine development and efficacy analysis,10.1000/sample.197,PMC1000197,30000197,cc-by,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2020-06-11,"Lee, K.; Wang, L.; Chen, M.",JAMA,mag_197,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_197,s2_197
sample_0198,sha_0198,PMC,Clinical outcomes in COVID-19 patients,,PMC1000198,30000198,cc-by,Research on pandemic response effectiveness and public health intervention strategies.,2022-05-18,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Science,mag_198,who_198,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_198,s2_198
sample_0199,,PMC,COVID-19 respiratory symptoms and transmission patterns,10.1000/sample.199,PMC1000199,30000199,cc-by,We analyzed SARS-CoV-2 viral dynamics and patient outcomes in clinical environments.,2020-08-12,"Smith, J.; Johnson, A.; Brown, K.",Science,mag_199,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_199,s2_199
sample_0200,sha_0200,Elsevier,Pandemic response strategies and public health measures,10.1000/sample.200,PMC1000200,30000200,cc-by,Immunological response analysis including antibody production and cellular immunity.,2021-03-26,"Smith, J.; Johnson, A.; Brown, K.",Nature,mag_200,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_200,s2_200
sample_0201,sha_0201,PMC,Economic implications of pandemic measures,10.1000/sample.201,,,cc-by,Epidemiological study of coronavirus transmission rates and infection patterns.,2022-06-13,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",PLOS ONE,mag_201,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_201,s2_201
sample_0202,,medRxiv,Mental health effects of COVID-19 lockdowns,10.1000/sample.202,,30000202,cc-by,Immunological response analysis including antibody production and cellular immunity.,2023-04-03,"Davis, M.; Wilson, R.; Taylor, S.",JAMA,mag_202,who_202,arxiv.202,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_202,s2_202
sample_0203,sha_0203,PMC,Ventilator management in COVID patients,,PMC1000203,,cc-by,Long-term COVID effects study including symptom persistence and recovery.,2022-03-27,"Anderson, L.; Thomas, P.; Jackson, D.",JAMA,mag_203,who_203,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_203,s2_203
sample_0204,sha_0204,Elsevier,Ventilator management in COVID patients,10.1000/sample.204,PMC1000204,,cc-by,"Investigation of vaccine efficacy, safety profiles, and immunological responses.",2023-04-01,"Thompson, G.; Garcia, H.; Martinez, I.",The Lancet,mag_204,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_204,s2_204
sample_0205,sha_0205,WHO,Treatment protocols for severe COVID cases,10.1000/sample.205,,,cc-by,Research on pandemic response effectiveness and public health intervention strategies.,2022-07-29,"Lee, K.; Wang, L.; Chen, M.",The Lancet,mag_205,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_205,s2_205
sample_0206,sha_0206,arXiv,SARS-CoV-2 viral dynamics in clinical settings,,PMC1000206,30000206,cc-by-nc,Immunological response analysis including antibody production and cellular immunity.,2023-01-04,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Science,mag_206,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_206,s2_206
sample_0207,sha_0207,PMC,Mental health effects of COVID-19 lockdowns,10.1000/sample.207,PMC1000207,30000207,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2023-01-29,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",The Lancet,mag_207,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_207,s2_207
sample_0208,sha_0208,medRxiv,Long COVID symptoms and patient recovery,10.1000/sample.208,PMC1000208,30000208,cc-by,"Investigation of vaccine efficacy, safety profiles, and immunological responses.",2020-04-24,"Davis, M.; Wilson, R.; Taylor, S.",Proceedings of the National Academy of Sciences,mag_208,who_208,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_208,s2_208
sample_0209,sha_0209,Elsevier,Long COVID symptoms and patient recovery,10.1000/sample.209,PMC1000209,30000209,cc-by,Long-term COVID effects study including symptom persistence and recovery.,2020-12-17,"Thompson, G.; Garcia, H.; Martinez, I.",Science,mag_209,who_209,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_209,s2_209
sample_0210,sha_0210,arXiv,Contact tracing effectiveness studies,10.1000/sample.210,PMC1000210,30000210,cc-by,"Investigation of vaccine efficacy, safety profiles, and immunological responses.",2021-06-29,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",The Lancet,mag_210,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_210,s2_210
sample_0211,sha_0211,PMC,Mask wearing and transmission reduction,10.1000/sample.211,,,cc-by,"Investigation of vaccine efficacy, safety profiles, and immunological responses.",2022-11-05,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Proceedings of the National Academy of Sciences,mag_211,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_211,s2_211
sample_0212,sha_0212,Elsevier,Pandemic response strategies and public health measures,10.1000/sample.212,PMC1000212,30000212,cc-by,We analyzed SARS-CoV-2 viral dynamics and patient outcomes in clinical environments.,2021-09-12,"White, C.; Harris, B.; Martin, E.",Proceedings of the National Academy of Sciences,mag_212,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_212,s2_212
sample_0213,sha_0213,WHO,Contact tracing effectiveness studies,10.1000/sample.213,PMC1000213,30000213,cc-by,Immunological response analysis including antibody production and cellular immunity.,2020-03-19,"Smith, J.; Johnson, A.; Brown, K.",Nature Medicine,mag_213,who_213,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_213,s2_213
sample_0214,,Elsevier,Long COVID symptoms and patient recovery,,PMC1000214,30000214,cc-by,Analysis of treatment effectiveness and clinical management approaches.,2023-10-18,"Thompson, G.; Garcia, H.; Martinez, I.",BMJ,mag_214,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_214,s2_214
sample_0215,sha_0215,PMC,Treatment protocols for severe COVID cases,10.1000/sample.215,PMC1000215,,cc-by-nc,We analyzed SARS-CoV-2 viral dynamics and patient outcomes in clinical environments.,2022-08-17,"Miller, N.; Jones, O.; Williams, P.",PLOS ONE,mag_215,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_215,s2_215
sample_0216,sha_0216,Elsevier,Epidemiological analysis of coronavirus spread,,PMC1000216,,cc-by,Analysis of treatment effectiveness and clinical management approaches.,2023-08-22,"Thompson, G.; Garcia, H.; Martinez, I.",New England Journal of Medicine,mag_216,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_216,s2_216
sample_0217,,PMC,Immunological response to SARS-CoV-2 infection,,,,cc-by,Long-term COVID effects study including symptom persistence and recovery.,2021-08-25,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Proceedings of the National Academy of Sciences,mag_217,who_217,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_217,s2_217
sample_0218,sha_0218,WHO,Clinical outcomes in COVID-19 patients,10.1000/sample.218,PMC1000218,,cc-by,Epidemiological study of coronavirus transmission rates and infection patterns.,2023-06-03,"Davis, M.; Wilson, R.; Taylor, S.",Nature,mag_218,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_218,s2_218
sample_0219,sha_0219,Elsevier,SARS-CoV-2 viral dynamics in clinical settings,10.1000/sample.219,PMC1000219,,cc-by-nc,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2020-04-19,"Anderson, L.; Thomas, P.; Jackson, D.",New England Journal of Medicine,mag_219,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_219,s2_219
sample_0220,sha_0220,WHO,Pandemic response strategies and public health measures,10.1000/sample.220,,30000220,cc-by,Immunological response analysis including antibody production and cellular immunity.,2021-12-26,"Lee, K.; Wang, L.; Chen, M.",JAMA,mag_220,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_220,s2_220
sample_0221,sha_0221,PMC,SARS-CoV-2 viral dynamics in clinical settings,10.1000/sample.221,PMC1000221,,cc-by-nc,Healthcare system capacity analysis during peak pandemic periods.,2020-05-31,"Lee, K.; Wang, L.; Chen, M.",BMJ,mag_221,who_221,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_221,s2_221
sample_0222,sha_0222,PMC,Contact tracing effectiveness studies,10.1000/sample.222,PMC1000222,30000222,cc-by-nc,Long-term COVID effects study including symptom persistence and recovery.,2023-06-06,"Smith, J.; Johnson, A.; Brown, K.",PLOS ONE,mag_222,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_222,s2_222
sample_0223,sha_0223,arXiv,Mask wearing and transmission reduction,,PMC1000223,30000223,cc-by-nc,"Investigation of vaccine efficacy, safety profiles, and immunological responses.",2023-08-01,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Nature,mag_223,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_223,s2_223
sample_0224,,Elsevier,Mental health effects of COVID-19 lockdowns,10.1000/sample.224,,,cc-by,Research on pandemic response effectiveness and public health intervention strategies.,2023-08-16,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Nature Medicine,mag_224,,arxiv.224,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_224,s2_224
sample_0225,sha_0225,PMC,Clinical outcomes in COVID-19 patients,10.1000/sample.225,PMC1000225,30000225,cc-by-nc,"Investigation of vaccine efficacy, safety profiles, and immunological responses.",2022-12-08,"Miller, N.; Jones, O.; Williams, P.",The Lancet,mag_225,who_225,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_225,s2_225
sample_0226,sha_0226,medRxiv,Immunological response to SARS-CoV-2 infection,10.1000/sample.226,,30000226,cc-by-nc,Long-term COVID effects study including symptom persistence and recovery.,2022-04-16,"Thompson, G.; Garcia, H.; Martinez, I.",New England Journal of Medicine,mag_226,who_226,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_226,s2_226
sample_0227,sha_0227,Elsevier,Immunological response to SARS-CoV-2 infection,10.1000/sample.227,PMC1000227,30000227,cc-by,Long-term COVID effects study including symptom persistence and recovery.,2023-08-15,"White, C.; Harris, B.; Martin, E.",Nature Medicine,mag_227,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_227,s2_227
sample_0228,sha_0228,PMC,COVID-19 respiratory symptoms and transmission patterns,10.1000/sample.228,PMC1000228,30000228,cc-by-nc,Healthcare system capacity analysis during peak pandemic periods.,2021-04-27,"Smith, J.; Johnson, A.; Brown, K.",Nature Medicine,mag_228,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_228,s2_228
sample_0229,,Elsevier,COVID-19 respiratory symptoms and transmission patterns,10.1000/sample.229,,30000229,cc-by-nc,Healthcare system capacity analysis during peak pandemic periods.,2021-10-01,"White, C.; Harris, B.; Martin, E.",Cell,mag_229,who_229,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_229,s2_229
sample_0230,,Elsevier,Healthcare system impact during pandemic,10.1000/sample.230,,,cc-by,Immunological response analysis including antibody production and cellular immunity.,2023-09-12,"Davis, M.; Wilson, R.; Taylor, S.",BMJ,mag_230,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_230,s2_230
sample_0231,sha_0231,arXiv,Immunological response to SARS-CoV-2 infection,10.1000/sample.231,PMC1000231,30000231,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2021-11-30,"Davis, M.; Wilson, R.; Taylor, S.",Proceedings of the National Academy of Sciences,mag_231,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_231,s2_231
